Generation,BestFitness,AverageFitness
1,0.020530,0.004778
2,0.020530,0.005477
3,0.020530,0.006174
4,0.020530,0.006836
5,0.021071,0.007551
6,0.021071,0.008243
7,0.021071,0.008944
8,0.021071,0.009633
9,0.021071,0.010318
10,0.021071,0.011008
11,0.021448,0.011726
12,0.022451,0.012462
13,0.022451,0.013184
14,0.022451,0.013932
15,0.022451,0.014677
16,0.022451,0.015419
17,0.022989,0.016175
18,0.022989,0.016908
19,0.022989,0.017656
20,0.023437,0.018423
21,0.023437,0.019150
22,0.023437,0.019869
23,0.023437,0.020597
24,0.023553,0.021335
25,0.023786,0.021776
26,0.023786,0.021913
27,0.023786,0.022038
28,0.023786,0.022154
29,0.023786,0.022275
30,0.023786,0.022398
31,0.023904,0.022529
32,0.023904,0.022654
33,0.023904,0.022768
34,0.023904,0.022885
35,0.023904,0.022999
36,0.023904,0.023087
37,0.023904,0.023178
38,0.023904,0.023250
39,0.023904,0.023308
40,0.023904,0.023367
41,0.023904,0.023418
42,0.023904,0.023476
43,0.023904,0.023534
44,0.023904,0.023592
45,0.023904,0.023637
46,0.023904,0.023676
47,0.023904,0.023713
48,0.023904,0.023745
49,0.023904,0.023768
50,0.023904,0.023787
51,0.024145,0.023813
52,0.024145,0.023827
53,0.024145,0.023846
54,0.024145,0.023870
55,0.024145,0.023893
56,0.024145,0.023912
57,0.024145,0.023931
58,0.024145,0.023950
59,0.024145,0.023969
60,0.024145,0.023984
61,0.024145,0.023996
62,0.024145,0.024005
63,0.024145,0.024015
64,0.024145,0.024025
65,0.024145,0.024034
66,0.024145,0.024044
67,0.024145,0.024053
68,0.024145,0.024063
69,0.024145,0.024073
70,0.024145,0.024082
71,0.024145,0.024092
72,0.024145,0.024102
73,0.024145,0.024111
74,0.024145,0.024121
75,0.024145,0.024130
76,0.024145,0.024140
77,0.024145,0.024145
78,0.024641,0.024155
79,0.024641,0.024155
80,0.024641,0.024155
81,0.024641,0.024155
82,0.024641,0.024175
83,0.024641,0.024194
84,0.024641,0.024214
85,0.024641,0.024234
86,0.024641,0.024254
87,0.024641,0.024254
88,0.024641,0.024274
89,0.024641,0.024294
90,0.024641,0.024313
91,0.024641,0.024333
92,0.024641,0.024353
93,0.024641,0.024373
94,0.024641,0.024393
95,0.024641,0.024413
96,0.024641,0.024432
97,0.024641,0.024452
98,0.024641,0.024472
99,0.024641,0.024492
100,0.024768,0.024514
101,0.024768,0.024539
102,0.024768,0.024562
103,0.024768,0.024581
104,0.024768,0.024606
105,0.024768,0.024631
106,0.024768,0.024656
107,0.024768,0.024671
108,0.024768,0.024676
109,0.024768,0.024681
110,0.024768,0.024686
111,0.024768,0.024692
112,0.024768,0.024697
113,0.024768,0.024702
114,0.024768,0.024707
115,0.024768,0.024712
116,0.024768,0.024717
117,0.024768,0.024722
118,0.024768,0.024727
119,0.024768,0.024732
120,0.025026,0.024742
121,0.025026,0.024758
122,0.025026,0.024773
123,0.025026,0.024789
124,0.025026,0.024804
125,0.025026,0.024820
126,0.025026,0.024835
127,0.025026,0.024845
128,0.025026,0.024856
129,0.025026,0.024866
130,0.025026,0.024876
131,0.025026,0.024876
132,0.025026,0.024887
133,0.025026,0.024897
134,0.025026,0.024907
135,0.025026,0.024918
136,0.025026,0.024928
137,0.025026,0.024938
138,0.025026,0.024949
139,0.025026,0.024959
140,0.025026,0.024969
141,0.025026,0.024980
142,0.025026,0.024990
143,0.025026,0.025000
144,0.025026,0.025011
145,0.025026,0.025021
146,0.025026,0.025026
147,0.025026,0.025026
148,0.025157,0.025029
149,0.025157,0.025034
150,0.025157,0.025039
151,0.025157,0.025044
152,0.025157,0.025050
153,0.025157,0.025055
154,0.025157,0.025060
155,0.025157,0.025065
156,0.025157,0.025071
157,0.025157,0.025076
158,0.025157,0.025081
159,0.025157,0.025086
160,0.025157,0.025092
161,0.025157,0.025097
162,0.025157,0.025102
163,0.025157,0.025107
164,0.025157,0.025113
165,0.025157,0.025118
166,0.025157,0.025123
167,0.025157,0.025128
168,0.025157,0.025134
169,0.025157,0.025139
170,0.025157,0.025144
171,0.025157,0.025149
172,0.025157,0.025155
173,0.025157,0.025157
174,0.025157,0.025157
175,0.025157,0.025157
176,0.025157,0.025157
177,0.025157,0.025157
178,0.025157,0.025157
179,0.025157,0.025157
180,0.025157,0.025157
181,0.025157,0.025157
182,0.025157,0.025157
183,0.025157,0.025157
184,0.025157,0.025157
185,0.025157,0.025157
186,0.025157,0.025157
187,0.025157,0.025157
188,0.025157,0.025157
189,0.025157,0.025157
190,0.025157,0.025157
191,0.025157,0.025157
192,0.025157,0.025157
193,0.025157,0.025157
194,0.025157,0.025157
195,0.025157,0.025157
196,0.025157,0.025157
197,0.025157,0.025157
198,0.025157,0.025157
199,0.025157,0.025157
200,0.025157,0.025157
